ID,Nome,PopTot,Superficie,NUT
1815,SAO JOAO DA PESQUEIRA,7180,266,REGIAO DO NORTE
1816,SAO PEDRO DO SUL,15587,349,REGIAO DO CENTRO
1817,SATAO,11673,202,REGIAO DO CENTRO
1818,SERNANCELHE,5393,229,REGIAO DO NORTE
1819,TABUACO,6028,134,REGIAO DO NORTE
1820,TAROUCA,7752,100,REGIAO DO NORTE
1821,TONDELA,26745,371,REGIAO DO CENTRO
1822,VILA NOVA DE PAIVA,4758,176,REGIAO DO CENTRO
1823,VISEU,97207,507,REGIAO DO CENTRO
1824,VOUZELA,9722,194,REGIAO DO CENTRO
3101,CALHETA,3221,126,REGIAO AUTONOMA DA MADEIRA
3102,CAMARA DE LOBOS,33790,52,REGIAO AUTONOMA DA MADEIRA
3103,FUNCHAL,104286,76,REGIAO AUTONOMA DA MADEIRA
3104,MACHICO,20183,68,REGIAO AUTONOMA DA MADEIRA
3105,PONTA DO SOL,8552,46,REGIAO AUTONOMA DA MADEIRA
3106,PORTO MONIZ,2360,83,REGIAO AUTONOMA DA MADEIRA
3107,RIBEIRA BRAVA,12420,65,REGIAO AUTONOMA DA MADEIRA
3108,SANTA CRUZ,44581,82,REGIAO AUTONOMA DA MADEIRA
3109,SANTANA,6779,95,REGIAO AUTONOMA DA MADEIRA
3110,SAO VICENTE,5151,79,REGIAO AUTONOMA DA MADEIRA
3201,PORTO SANTO,5175,43,REGIAO AUTONOMA DA MADEIRA
4101,VILA DO PORTO,5636,97,REGIAO AUTONOMA DOS ACORES
4201,LAGOA,22751,88,REGIAO AUTONOMA DOS ACORES
4202,NORDESTE,4891,101,REGIAO AUTONOMA DOS ACORES
4203,PONTA DELGADA,67960,233,REGIAO AUTONOMA DOS ACORES
4204,POVOACAO,5975,106,REGIAO AUTONOMA DOS ACORES
4205,RIBEIRA GRANDE,32710,180,REGIAO AUTONOMA DOS ACORES
4206,VILA FRANCA DO CAMPO,11113,78,REGIAO AUTONOMA DOS ACORES
4301,ANGRA DO HEROISMO,34004,239,REGIAO AUTONOMA DOS ACORES
4302,PRAIA DA VITORIA,21373,161,REGIAO AUTONOMA DOS ACORES
4401,SANTA CRUZ DA GRACIOSA,4246,61,REGIAO AUTONOMA DOS ACORES
4501,CALHETA DE SAO JORGE,10883,112,REGIAO AUTONOMA DOS ACORES
4502,VELAS,5154,117,REGIAO AUTONOMA DOS ACORES
4601,LAJES DO PICO,4524,155,REGIAO AUTONOMA DOS ACORES
4602,MADALENA,5892,147,REGIAO AUTONOMA DOS ACORES
4603,SAO ROQUE DO PICO,3271,142,REGIAO AUTONOMA DOS ACORES
4701,HORTA,14591,173,REGIAO AUTONOMA DOS ACORES
4801,LAJES DAS FLORES,1475,70,REGIAO AUTONOMA DOS ACORES
4802,SANTA CRUZ DAS FLORES,2171,71,REGIAO AUTONOMA DOS ACORES
4901,CORVO,464,17,REGIAO AUTONOMA DOS ACORES
